epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.532,2.21166,3.92322,1.78142,0.00244,0.10201,0.01425,0.00623,2.10325,4.07877,1.51024,1.667e-05,1.667e-05,1.667e-05
2,84.6297,2.13513,3.69911,1.49977,0.00252,0.10826,0.0238,0.01104,2.01753,4.00817,1.44893,4.95149e-05,4.95149e-05,4.95149e-05
3,103.798,2.18961,3.63488,1.53751,0.00278,0.12278,0.03208,0.01917,1.91613,3.95149,1.38166,8.16997e-05,8.16997e-05,8.16997e-05
4,123.312,1.91278,3.598,1.45735,0.00384,0.17045,0.04803,0.03158,1.81894,3.90832,1.32432,0.000113224,0.000113224,0.000113224
5,145.307,1.76745,3.2973,1.34901,0.00431,0.19757,0.05855,0.03981,1.78703,3.86824,1.28956,0.000144089,0.000144089,0.000144089
6,168.546,1.89047,3.15868,1.30768,0.00283,0.13528,0.06451,0.04576,1.77512,3.80269,1.25408,0.000174293,0.000174293,0.000174293
7,190.311,1.84345,2.75461,1.31064,0.00314,0.14153,0.06481,0.04126,1.7713,3.73295,1.21364,0.000203837,0.000203837,0.000203837
8,213.34,1.83244,2.59492,1.25052,0.00418,0.17479,0.0681,0.04131,1.74419,3.6294,1.17746,0.000232722,0.000232722,0.000232722
9,234.527,1.65255,2.14452,1.23908,0.17715,0.0875,0.06783,0.04185,1.7481,3.59792,1.16445,0.000260946,0.000260946,0.000260946
10,252.696,1.84513,2.1444,1.19667,0.00518,0.21028,0.07696,0.04871,1.74256,3.53862,1.16164,0.000288509,0.000288509,0.000288509
11,277.061,1.7765,1.99291,1.22174,0.00626,0.25191,0.08943,0.06371,1.71339,3.47776,1.13891,0.000315413,0.000315413,0.000315413
12,296.815,1.66021,1.86573,1.20362,0.00565,0.22691,0.11104,0.08259,1.69516,3.43552,1.11746,0.000341657,0.000341657,0.000341657
13,316.667,1.70205,1.70682,1.16499,0.00514,0.20191,0.11475,0.07725,1.67335,3.407,1.11461,0.00036724,0.00036724,0.00036724
14,340.312,1.81633,1.74169,1.18576,0.00502,0.18528,0.10579,0.07085,1.65988,3.39048,1.11342,0.000392163,0.000392163,0.000392163
15,368.049,1.64427,1.62773,1.22758,0.18478,0.11653,0.09948,0.06874,1.63133,3.38768,1.10566,0.000416427,0.000416427,0.000416427
16,391.647,1.63027,1.80826,1.21915,0.89924,0.04957,0.09415,0.06373,1.63815,3.34947,1.115,0.00044003,0.00044003,0.00044003
17,417.054,1.7115,1.68664,1.28754,0.90602,0.05414,0.09943,0.06264,1.65839,3.28017,1.11941,0.000462973,0.000462973,0.000462973
18,444.611,1.7724,1.45765,1.22813,1,0.02346,0.11306,0.07142,1.64992,3.23261,1.1138,0.000485255,0.000485255,0.000485255
19,467.062,1.63194,1.70991,1.29772,1,0.02411,0.12886,0.07901,1.66658,3.20315,1.117,0.000506878,0.000506878,0.000506878
20,497.947,1.60981,1.45669,1.22172,1,0.0323,0.12424,0.07792,1.6917,3.19362,1.13166,0.000527841,0.000527841,0.000527841
21,517.676,1.71079,1.45628,1.18605,1,0.04251,0.13601,0.08306,1.68204,3.18857,1.1377,0.000548143,0.000548143,0.000548143
22,546.57,1.8177,1.39659,1.20363,0.99266,0.04375,0.16206,0.09492,1.73954,3.16599,1.16157,0.000567785,0.000567785,0.000567785
23,563.9,1.57227,1.36523,1.16516,0.87501,0.04866,0.1627,0.09243,1.73481,3.129,1.16815,0.000586767,0.000586767,0.000586767
24,591.677,1.40559,1.568,1.18684,0.88198,0.04491,0.1847,0.10554,1.7245,3.12729,1.16077,0.000605089,0.000605089,0.000605089
25,610.962,1.53608,1.593,1.17753,0.87196,0.03869,0.22562,0.12726,1.72641,3.13459,1.1616,0.000622751,0.000622751,0.000622751
26,639.517,1.66185,1.41858,1.20221,0.92685,0.03172,0.25651,0.1373,1.76811,3.16122,1.18311,0.000639753,0.000639753,0.000639753
27,659.223,1.63923,1.31202,1.16869,0.8846,0.01875,0.28419,0.15344,1.7333,3.10838,1.15647,0.000656095,0.000656095,0.000656095
28,691.025,1.82998,1.346,1.15554,0.8846,0.01875,0.28419,0.15344,1.7333,3.10838,1.15647,0.000671776,0.000671776,0.000671776
29,713.757,1.64187,1.45918,1.23411,0.88455,0.02586,0.32457,0.17041,1.70929,3.04002,1.15066,0.000686797,0.000686797,0.000686797
30,736.005,1.65153,1.44644,1.2489,1,0.03819,0.32641,0.16111,1.77593,3.01876,1.17574,0.000701159,0.000701159,0.000701159
31,758.04,1.69848,1.48934,1.22296,1,0.03819,0.32641,0.16111,1.77593,3.01876,1.17574,0.00071486,0.00071486,0.00071486
32,780.256,1.72379,1.37047,1.09149,1,0.07526,0.30113,0.14955,1.7714,2.98324,1.16768,0.000727901,0.000727901,0.000727901
33,800.509,1.72462,1.52237,1.25143,0.88927,0.11028,0.32429,0.17605,1.69506,2.86282,1.14752,0.000740281,0.000740281,0.000740281
34,825.004,1.53408,1.36105,1.14545,0.88927,0.11028,0.32429,0.17605,1.69506,2.86282,1.14752,0.000752002,0.000752002,0.000752002
35,846.254,1.57964,1.38688,1.16052,0.90755,0.12126,0.29523,0.17647,1.67643,2.85452,1.14454,0.000763063,0.000763063,0.000763063
36,864.04,1.61442,1.334,1.15223,0.83716,0.11021,0.28303,0.17498,1.66741,2.82017,1.13642,0.000773463,0.000773463,0.000773463
37,883.681,1.64666,1.38461,1.20791,0.83716,0.11021,0.28303,0.17498,1.66741,2.82017,1.13642,0.000783203,0.000783203,0.000783203
38,907.41,1.60024,1.29329,1.14399,0.65402,0.12543,0.28106,0.1751,1.60924,2.71138,1.11922,0.000792283,0.000792283,0.000792283
39,924.703,1.67626,1.38995,1.13154,0.59594,0.16865,0.36395,0.19444,1.60101,2.57647,1.11819,0.000800703,0.000800703,0.000800703
40,942.02,1.50309,1.16037,1.09742,0.59594,0.16865,0.36395,0.19444,1.60101,2.57647,1.11819,0.000808463,0.000808463,0.000808463
41,989.45,1.74246,1.38014,1.1964,0.68511,0.18481,0.41945,0.21071,1.58918,2.48741,1.11976,0.000815563,0.000815563,0.000815563
42,1043.97,1.59223,1.34426,1.21137,0.61994,0.18423,0.41991,0.20073,1.59407,2.508,1.1259,0.000822003,0.000822003,0.000822003
