epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1415,1.4705,2.98349,2.14519,0.00143,1,0.4425,0.30803,0.98219,4.93924,1.48967,0,0,0
2,10.9325,1.6054,3.46107,1.90231,0.00143,1,0.45625,0.3323,0.96722,4.80834,1.44893,1.9802e-05,1.9802e-05,1.9802e-05
3,14.1185,1.27179,2.81466,1.56166,0.00143,1,0.597,0.4217,0.87121,4.78308,1.38122,3.9208e-05,3.9208e-05,3.9208e-05
4,17.17,1.43741,2.91598,1.76716,0.00143,1,0.64133,0.44996,0.76774,4.57917,1.27759,5.8218e-05,5.8218e-05,5.8218e-05
5,20.0358,1.55863,2.73926,1.90745,0.00143,1,0.58476,0.44113,0.68089,4.58808,1.23131,7.6832e-05,7.6832e-05,7.6832e-05
6,23.1586,0.98041,2.69488,1.47478,0.00143,1,0.69643,0.50811,0.651,4.54276,1.21145,9.505e-05,9.505e-05,9.505e-05
7,26.3541,0.88411,2.7044,1.35697,0.00143,1,0.83,0.61427,0.58627,4.50138,1.16476,0.000112872,0.000112872,0.000112872
8,29.5714,1.36984,2.4494,1.51523,0.00143,1,0.995,0.74085,0.52998,4.50814,1.14343,0.000130298,0.000130298,0.000130298
9,32.6239,0.73901,2.26325,1.1893,0.00143,1,0.995,0.84035,0.53352,4.43575,1.10948,0.000147328,0.000147328,0.000147328
10,35.9875,0.88317,2.15494,1.07925,0.00143,1,0.995,0.8955,0.52469,4.33382,1.12378,0.000163962,0.000163962,0.000163962
11,39.4379,0.87334,2.21511,1.24002,0.00143,1,0.995,0.85152,0.53053,4.33445,1.08585,0.0001802,0.0001802,0.0001802
12,42.4762,0.71284,1.62306,0.97502,0.00143,1,0.995,0.85152,0.49673,4.28305,1.10432,0.000196042,0.000196042,0.000196042
13,45.8485,1.01722,2.11764,1.32882,0.00143,1,0.995,0.85152,0.47536,4.24607,1.13135,0.000211488,0.000211488,0.000211488
14,49.778,1.03067,1.64887,1.39736,0.00143,1,0.995,0.82953,0.4871,4.17855,1.16261,0.000226538,0.000226538,0.000226538
15,53.6023,0.80957,2.5079,1.47581,0.00158,1,0.995,0.8955,0.48901,4.09367,1.15212,0.000241192,0.000241192,0.000241192
16,57.1513,0.78525,1.60569,1.14185,0.15923,1,0.9125,0.78002,0.53185,4.07048,1.18466,0.00025545,0.00025545,0.00025545
17,60.6258,1.02842,1.79016,1.46789,0.00367,1,0.863,0.57502,0.66301,4.18789,1.27512,0.000269312,0.000269312,0.000269312
18,64.7533,0.97852,1.78974,1.27692,0.00367,1,0.863,0.57502,0.66301,4.18789,1.27512,0.000282778,0.000282778,0.000282778
19,68.0662,1.17496,1.73873,1.49896,0.0023,1,0.83,0.5866,0.74499,4.13213,1.3502,0.000295848,0.000295848,0.000295848
20,71.2013,0.77173,1.39274,1.08552,0.0023,1,0.83,0.5866,0.74499,4.13213,1.3502,0.000308522,0.000308522,0.000308522
21,74.4313,0.92955,1.31794,1.12866,0.00143,1,0.83,0.60877,0.66363,4.1646,1.28506,0.0003208,0.0003208,0.0003208
22,78.1172,0.94475,1.71505,1.81955,0.00143,1,0.83,0.60877,0.66363,4.1646,1.28506,0.000332682,0.000332682,0.000332682
23,82.0243,0.57386,1.25771,1.22462,0.00143,1,0.995,0.82953,0.5429,4.2003,1.22672,0.000344168,0.000344168,0.000344168
24,85.4307,0.76599,1.91022,1.28991,0.00143,1,0.995,0.82953,0.5429,4.2003,1.22672,0.000355258,0.000355258,0.000355258
25,89.136,0.80447,1.40555,1.12728,0.00143,1,0.995,0.88503,0.44465,4.06728,1.11422,0.000365952,0.000365952,0.000365952
26,92.6089,0.95275,1.21622,1.30771,0.00143,1,0.995,0.88503,0.44465,4.06728,1.11422,0.00037625,0.00037625,0.00037625
27,96.0603,0.94494,1.34661,1.20638,0.00143,1,0.863,0.73713,0.43959,4.10832,1.08163,0.000386152,0.000386152,0.000386152
28,99.8807,0.66907,1.2557,1.0615,0.00143,1,0.863,0.73713,0.43959,4.10832,1.08163,0.000395658,0.000395658,0.000395658
